accuracy	bucket	dim	epoch	f1	label_prefix	loss	lr	lr_update_rate	maxn	neg	precision	recall	thread	training_duration	word_ngrams	ws	best_validation_accuracy	embedding	model.encoder.architecture.type
0.49990002	20000	415	50	0.5	__label__	ns	0.0016543354369324388	294	3	8	0.5	0.5	20	282.0021648407	5	3.9089975015015193	0.49990002		fasttext
0.8824235153000001	20000	246	50	0.8858	__label__	ns	0.025769182528367	64	7	5	0.8858	0.8858	20	24.0819489956	1	3.7146678702810454	0.8824235153000001		fasttext
0.5318936213000001	20000	113	50	0.5364	__label__	softmax	0.0033317970604648307	440	9	4	0.5364	0.5364	20	46.6431889534	4	5.6841485825310505	0.5318936213000001		fasttext
0.8628274345	20000	379	50	0.865	__label__	ns	0.3278078031647125	462	0	1	0.865	0.865	20	132.9380497932	3	3.6085567794599274	0.8628274345		fasttext
0.8824235153000001	20000	304	50	0.8834000000000001	__label__	softmax	0.0282204244714549	335	8	3	0.8834000000000001	0.8834000000000001	20	52.1593959332	2	3.0496521696418997	0.8824235153000001		fasttext
0.49990002	20000	455	50	0.5	__label__	ns	0.001194621175702222	261	7	3	0.5	0.5	20	297.141865015	5	4.419975028256914	0.49990002		fasttext
0.8794241152000001	20000	256	50	0.8808	__label__	softmax	0.3789106041025209	14	1	1	0.8808	0.8808	20	45.7935130596	2	4.747292701852602	0.8794241152000001		fasttext
0.8474305139	20000	145	50	0.8486	__label__	ns	0.6089667098282843	420	2	2	0.8486	0.8486	20	63.5694830418	4	3.634356136515176	0.8474305139		fasttext
0.5356928614	20000	189	50	0.539	__label__	softmax	0.005917644056572941	91	8	6	0.539	0.539	20	101.5486731529	5	9.980685983199642	0.5356928614		fasttext
0.6486702659	20000	141	50	0.661	__label__	ns	0.006642098736326418	319	6	6	0.661	0.661	20	68.8740570545	4	3.0047059246278267	0.6486702659		fasttext
0.8782243551000001	20000	76	50	0.8794000000000001	__label__	softmax	0.8062634014494926	179	0	3	0.8794000000000001	0.8794000000000001	20	14.747494936	2	2.346193383280373	0.8782243551000001		fasttext
0.8442311538	20000	139	50	0.846	__label__	softmax	0.1172955959195271	153	4	5	0.846	0.846	20	67.7199950218	5	3.17376114841322	0.8442311538		fasttext
0.49990002	20000	223	50	0.5	__label__	ns	0.0018832130563948418	393	2	9	0.5	0.5	20	103.2708690166	4	4.80072763902169	0.49990002		fasttext
0.825834833	20000	108	50	0.8278000000000001	__label__	ns	0.0058880657071734704	168	9	9	0.8278000000000001	0.8278000000000001	20	26.0746791363	2	7.325192465096422	0.825834833		fasttext
0.8416316737	20000	405	50	0.8482000000000001	__label__	ns	0.02418864622967575	209	5	3	0.8482000000000001	0.8482000000000001	20	253.0212249756	5	4.796817858507762	0.8416316737		fasttext
