Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	evaluate_on_test	iterator.batch_size	iterator.type	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	test_data_path	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss	vocabulary.max_vocab_size
20	27	0.8874	0.2787912503073487	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	36	False	64	basic	0.3		['meanpool maxpool attention final_state']		True		125.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4436.916	4103	1093.0	4827.0	4623.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00018223790378409086	adam	10	+accuracy	0.90915	4436.916	2370.0	36	4103	0.0	0.0	0.0	0.2265430261818365	0	0.8859999999999999	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.2783839356484292	10000
21	36	0.8922	0.2740886185931254	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	45	False	64	basic	0.2		['attention']		True		469.0	50.0			3.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4496.508	13917	10889.0	9013.0	11339.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00015039124786295048	adam	10	+accuracy	0.92125	4496.508	9475.0	45	13917	5145.0	5463.0	8623.0	0.2039889917848781	0	0.892	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.2741191460739208	10000
22	15	0.7702	0.48543785606758505	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	24	False	64	basic	0.4		['final_state maxpool attention']		True		134.0	50.0			3.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4456.356	6363	9245.0	6623.0	6301.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	1.0709454049888398e-05	adam	10	+accuracy	0.77625	4456.356	3547.0	24	6363	9245.0	6623.0	6301.0	0.4768945981328861	0	0.7672	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.4835216983964172	10000
23	25	0.895	0.26690036058425903	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	34	False	64	basic	0.3		['meanpool maxpool final_state attention']		True		65.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4446.948	10641	10795.0	2777.0	12281.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00028082189957713105	adam	10	+accuracy	0.9357	4446.948	3567.0	34	10641	10795.0	2777.0	2865.0	0.17448357602182668	0	0.894	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.2666850078709518	10000
24	19	0.893	0.2617200454579124	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	28	False	64	basic	0.3		['attention meanpool']		True		283.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4440.335999999998	13357	5643.0	7023.0	7781.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00022658639718165283	adam	10	+accuracy	0.923	4440.324000000001	1935.0	28	13357	593.0	7023.0	7781.0	0.20054977037274416	0	0.8926	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.2627697915216036	10000
25	10	0.6404	0.6732926949670043	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	19	False	64	basic	0.1		['maxpool']		True		392.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4456.9079999999985	10913	4919.0	8993.0	7483.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	2.6841866773008563e-06	adam	10	+accuracy	0.65005	4456.9079999999985	2273.0	19	10913	4919.0	8993.0	7483.0	0.6666719425981418	0	0.6394	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.667852854426903	10000
26	9	0.8809999999999999	0.3965653920475441	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	18	False	64	basic	0.3		['attention final_state']		True		177.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4446.7559999999985	6363	7419.0	4343.0	6301.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0174155736031256	adam	10	+accuracy	0.9992	4446.7559999999985	1954.0	18	6363	6825.0	4343.0	6301.0	0.004145439901648048	0	0.8740000000000001	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.7555714338263378	10000
27	5	0.9066	0.24602227082735376	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	14	False	64	basic	0.2		['attention meanpool final_state']		True		387.0	50.0			3.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4484.44	13917	10889.0	9013.0	11339.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0008314452063362335	adam	10	+accuracy	0.999	4484.44	2704.0	14	13917	10889.0	3485.0	11339.0	0.007361065264577016	0	0.8936	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.7136622278750697	10000
28	21	0.9006	0.2500677222881136	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	30	False	64	basic	0.0		['maxpool attention meanpool final_state']		True		186.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4438.572	6363	9245.0	6623.0	6301.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0002970569167503273	adam	10	+accuracy	0.94325	4438.572	2109.0	30	6363	9245.0	6623.0	2593.0	0.15159673037858434	0	0.9004	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.2507433325429506	10000
29	20	0.8906	0.27241562023947513	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	29	False	64	basic	0.2		['final_state maxpool']		True		81.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4438.044	10641	10795.0	2777.0	2865.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00024103142437114267	adam	10	+accuracy	0.92405	4438.044	1825.0	29	10641	10795.0	2777.0	2865.0	0.20081745147609864	0	0.8894	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.2711272088787224	10000
